method,estimate,flow,cq,runid
pw,23.08490041294276,storm,dilution,11
beale,NA,storm,dilution,11
rating,13.497811310548256,storm,dilution,11
composite,11.711963346787797,storm,dilution,11
truth,17.10224092723496,storm,dilution,11
pw,13.69170628376942,unaltered,dilution,11
beale,NA,unaltered,dilution,11
rating,11.690349170559307,unaltered,dilution,11
composite,11.679692924459097,unaltered,dilution,11
truth,13.48725709448733,unaltered,dilution,11
pw,4.419529823445044,base,enrich,11
beale,NA,base,enrich,11
rating,12.419276100465384,base,enrich,11
composite,12.455075597535773,base,enrich,11
truth,13.627836595351543,base,enrich,11
pw,0.871237638119398,storm,enrich,11
beale,NA,storm,enrich,11
rating,37.42013164151852,storm,enrich,11
composite,37.73990540559574,storm,enrich,11
truth,75.34306695588887,storm,enrich,11
pw,3.3471276717259486,unaltered,enrich,11
beale,NA,unaltered,enrich,11
rating,13.370834151110564,unaltered,enrich,11
composite,13.454540502603827,unaltered,enrich,11
truth,13.672384197480628,unaltered,enrich,11
pw,12.32559838984125,base,none,11
beale,NA,base,none,11
rating,15.576793582215112,base,none,11
composite,15.957749127042995,base,none,11
truth,15.580141680591394,base,none,11
pw,5.349016870849955,storm,none,11
beale,NA,storm,none,11
rating,11.160982082341757,storm,none,11
composite,11.979982529949373,storm,none,11
truth,13.632045305593312,storm,none,11
pw,10.235402311119554,unaltered,none,11
beale,NA,unaltered,none,11
rating,12.527526745346101,unaltered,none,11
composite,13.019812770120389,unaltered,none,11
truth,13.494543880536849,unaltered,none,11
pw,12.175240163973413,base,chemostatic,11
beale,NA,base,chemostatic,11
rating,15.643403931607372,base,chemostatic,11
composite,15.675760772480862,base,chemostatic,11
truth,15.603481140358067,base,chemostatic,11
pw,5.283764973019094,storm,chemostatic,11
beale,NA,storm,chemostatic,11
rating,14.011963730444124,storm,chemostatic,11
composite,14.035779845045498,storm,chemostatic,11
truth,13.716817770447959,storm,chemostatic,11
pw,10.11054209063631,unaltered,chemostatic,11
beale,NA,unaltered,chemostatic,11
rating,13.590338652618868,unaltered,chemostatic,11
composite,13.628787142997112,unaltered,chemostatic,11
truth,13.521855211697197,unaltered,chemostatic,11
pw,15.060635903235646,base,dilution,12
beale,NA,base,dilution,12
rating,13.265309389933751,base,dilution,12
composite,13.693844074258395,base,dilution,12
truth,12.980968757971057,base,dilution,12
pw,28.437335541730604,storm,dilution,12
beale,NA,storm,dilution,12
rating,15.838787764316532,storm,dilution,12
composite,13.819400638170851,storm,dilution,12
truth,20.144508175190314,storm,dilution,12
pw,16.3632272102874,unaltered,dilution,12
beale,NA,unaltered,dilution,12
rating,13.539062837646467,unaltered,dilution,12
composite,13.632193719864873,unaltered,dilution,12
truth,14.523884275144606,unaltered,dilution,12
pw,5.841359211252565,base,enrich,12
beale,NA,base,enrich,12
rating,12.920574884393243,base,enrich,12
composite,12.847064680899427,base,enrich,12
truth,15.326371353798557,base,enrich,12
