method,estimate,flow,cq,runid
pw,28.89325172440902,storm,dilution,12
beale,NA,storm,dilution,12
rating,12.447076770405445,storm,dilution,12
composite,14.343405389763147,storm,dilution,12
truth,18.628904366381057,storm,dilution,12
pw,15.38684672381355,unaltered,dilution,12
beale,NA,unaltered,dilution,12
rating,11.867366027912547,unaltered,dilution,12
composite,12.315041324549641,unaltered,dilution,12
truth,13.545910927216042,unaltered,dilution,12
pw,5.031263535496517,base,enrich,12
beale,NA,base,enrich,12
rating,15.019017352832464,base,enrich,12
composite,15.204281957663511,base,enrich,12
truth,13.648778519133451,base,enrich,12
pw,1.1037902893526736,storm,enrich,12
beale,NA,storm,enrich,12
rating,72.59709076478754,storm,enrich,12
composite,72.89971253152056,storm,enrich,12
truth,74.06380007907424,storm,enrich,12
pw,3.5052752812041477,unaltered,enrich,12
beale,NA,unaltered,enrich,12
rating,15.251142276107121,unaltered,enrich,12
composite,15.332264368401363,unaltered,enrich,12
truth,13.60588978464713,unaltered,enrich,12
pw,14.063262968131864,base,none,12
beale,NA,base,none,12
rating,15.991545246347606,base,none,12
composite,16.204021994170592,base,none,12
truth,15.649756346314083,base,none,12
pw,7.318256980230723,storm,none,12
beale,NA,storm,none,12
rating,14.544398454508938,storm,none,12
composite,14.692639932631494,storm,none,12
truth,13.79529539231378,storm,none,12
pw,11.535851031942144,unaltered,none,12
beale,NA,unaltered,none,12
rating,13.907650264907803,unaltered,none,12
composite,14.078999774157317,unaltered,none,12
truth,13.540676219736504,unaltered,none,12
pw,13.636917873802227,base,chemostatic,12
beale,NA,base,chemostatic,12
rating,15.454890595060075,base,chemostatic,12
composite,15.421058714002536,base,chemostatic,12
truth,15.62591548240703,base,chemostatic,12
pw,7.096395029015323,storm,chemostatic,12
beale,NA,storm,chemostatic,12
rating,13.58323239206057,storm,chemostatic,12
composite,13.55890424701958,storm,chemostatic,12
truth,13.707486560708693,storm,chemostatic,12
pw,11.18612753551524,unaltered,chemostatic,12
beale,NA,unaltered,chemostatic,12
rating,13.368910041248274,unaltered,chemostatic,12
composite,13.334837456695546,unaltered,chemostatic,12
